Society,Place,Year,Households,State's share (direct tax only: vergi etc.) %,State's share (plus tithe etc.) %,Lord or landlord %,Church %,"Combined, cannot be split %",Numerator,Denominator,Who computed it,Source,How checked
Ottoman Empire,"Sarnıç village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,30,17.5,21.1,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Esealanı village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,30,18.0,25.4,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Gök village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,13,19.1,26.7,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Kireç village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,27,20.9,27.3,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Kumlu village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,19,17.6,23.6,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Sebiller village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,4,12.8,22.2,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Beğceli village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,8,18.6,23.5,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Naipler village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,32,23.3,28.6,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Hamzacık village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,21,20.7,27.3,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
Ottoman Empire,"Süleler village, Kepsut district (Hüdavendigâr; today Balıkesir)",1844–45,15,18.2,24.1,,,,vergi-i mahsusa paid the previous year; plus the tithe recorded for this year,"sum of each household's annual income in the register (first column of each plot is ten times the tithe, a gross figure including the tithe, plus livestock and craft income); households missing a total filled in as agricultural plus other income",computed by us,"Demir 2016, appendix EK 5–22 transcription; registers ML.VRD.TMT.d 8400–8403",arithmetic of the household-by-household transcription checked; original register not seen
