处,地方,年份,户数,国家一道（只vergi等直接税）%,国家一道（加什一税等）%,领主或地主一道%,教会一道%,分不开的合计%,分子口径,分母口径,谁算的,出处,核验
奥斯曼,Kepsut 县 Sarnıç 村（Hüdavendigâr，今 Balıkesir）,1844–45,30,17.5,21.1,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Esealanı 村（Hüdavendigâr，今 Balıkesir）,1844–45,30,18.0,25.4,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Gök 村（Hüdavendigâr，今 Balıkesir）,1844–45,13,19.1,26.7,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Kireç 村（Hüdavendigâr，今 Balıkesir）,1844–45,27,20.9,27.3,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Kumlu 村（Hüdavendigâr，今 Balıkesir）,1844–45,19,17.6,23.6,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Sebiller 村（Hüdavendigâr，今 Balıkesir）,1844–45,4,12.8,22.2,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Beğceli 村（Hüdavendigâr，今 Balıkesir）,1844–45,8,18.6,23.5,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Naipler 村（Hüdavendigâr，今 Balıkesir）,1844–45,32,23.3,28.6,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Hamzacık 村（Hüdavendigâr，今 Balıkesir）,1844–45,21,20.7,27.3,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
奥斯曼,Kepsut 县 Süleler 村（Hüdavendigâr，今 Balıkesir）,1844–45,15,18.2,24.1,,,,上年所缴 vergi-i mahsusa；加本年记的什一税,原册每户一年收入之和（地块第一栏为什一税十倍，含什一税的毛额，另加牲畜与手艺收入）；缺合计的户按农业加其他收入补,本件相除,Demir 2016 附录 EK 5–22 转写；册 ML.VRD.TMT.d 8400–8403,逐户转写已核算术；原册未见
